Reference,Quantity, Value, DigiKey PN,BC-Robotics PN
P1,1,CONN_02X05,ED1543-ND,
U3,1,SN74HC32DR,296-1199-1-ND,
U4,1,L4931CZ33-AP,LP2950ACZ-3.3GOS-ND,
D3-D8,8,TLPR5600,TLPR5600-ND,
"C1-C2,C4-C6,C8",6,100nF,399-9859-1-ND,
C7,1,1uF,399-3529-ND,
CON1,1,BARREL_JACK,839-54-00166-ND,
R1,8,560R,CF18JT560RCT-ND,
R9-R10,2,10K,CF18JT10K0CT-ND,
U1,1,MAX3237ECDWR,296-36945-1-ND,
U2,1,74HCT245D,74HCT245DCT-ND,
C3,1,100nF,399-9859-1-ND,
U5,1,WeMos_mini,,
U6,1,DFPlayer_Mini,1738-1041-ND,
LS1,1,Speaker,,AUD-013
D9,1,1N4148,1N4148FS-ND,
,1,Hammond 1593NBK case,HM963-ND ,
,1,Hammond red panel,HM889-ND ,
,50,PCB screws,HM1442-ND,
,1,5V wall adapter,364-1251-ND ,
,1,DE-9F IDC connector,5746861-4-ND,
,2,4-40 hex standoffs,A104867-ND,
,4,8 pos machine pin socket,2057-SMC-1-08-1-GT-ND,
,1,10 pos IDC socket,1175-1443-ND ,
,1,10 cond ribbon cable,3M157815-1-ND,
