Reference,Quantity, Value, Price, DigiKey PN
"C1-C5,C8",6,100nF,2.22,399-9859-1-ND
C6,1,100nF,0.34,399-9843-ND
C7,1,1uF,1.16,399-3529-ND
CON1,1,BARREL_JACK,0.72,839-54-00166-ND
D1-D8,8,TLPR5600,6.48,TLPR5600-ND
P1,1,CONN_02X05,0.4,ED1543-ND
R1-R8,8,560R,1.28,CF18JT560RCT-ND
R9,1,10K,0.16,CF18JT10K0CT-ND
U1,1,74HCT245,0.97,296-1612-5-ND
U2,1,MAX3232,2.65,ICL3232CPZ-ND
U3,1,74HC32,0.63,296-1589-5-ND
U4,1,LP2950ACZ-3.3,1.14,LP2950ACZ-3.3GOS-ND
U5,1,WeMos_D1_mini,7.24,
,1,Hammond 1593NBK case,8.37,HM963-ND 
,1,Hammond red panel,0.85,HM889-ND 
,50,PCB screws,9.8,HM1442-ND
,1,5V wall adapter,8.28,364-1251-ND 
,1,DE-9F IDC connector,16.23,5746861-4-ND
,2,4-40 hex standoffs,3.48,A104867-ND
,1,14 pin DIP socket,0.27,ED3045-5-ND
,1,16 pin DIP socket,0.27,2057-ICS-316-T-ND
,1,20 pin DIP socket,0.5,1175-1479-ND
,2,8 pos machine pin socket,1.58,2057-SMC-1-08-1-GT-ND
,1,10 pos IDC socket,0.62,1175-1443-ND 
,1,10 cond ribbon cable,0.98,3M157815-1-ND
